日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-14,0.988,0.996,0.999,0.981,990047,98175695.778,1.82,0.5,0.005,1.3
2025-03-17,1.0,0.998,1.003,0.995,223992,22397334.075,0.8,0.2,0.002,0.29
2025-03-18,0.998,1.003,1.004,0.994,320401,32057640.786,1.0,0.5,0.005,0.42
2025-03-19,1.002,0.986,1.002,0.984,166806,16508421.072,1.79,-1.69,-0.017,0.22
2025-03-20,0.988,0.986,0.994,0.981,155292,15348312.319,1.32,0.0,0.0,0.2
2025-03-21,0.987,0.965,0.987,0.963,191025,18609473.97,2.43,-2.13,-0.021,0.25
2025-03-24,0.964,0.952,0.969,0.933,136109,12923814.487,3.73,-1.35,-0.013,0.18
2025-03-25,0.95,0.945,0.961,0.942,90906,8650000.115,2.0,-0.74,-0.007,0.12
2025-03-26,0.945,0.946,0.954,0.944,63881,6059995.228,1.06,0.11,0.001,0.08
2025-03-27,0.937,0.943,0.955,0.929,97590,9180893.721,2.75,-0.32,-0.003,0.13
2025-03-28,0.943,0.932,0.946,0.931,100031,9366120.281,1.59,-1.17,-0.011,0.13
2025-03-31,0.929,0.927,0.932,0.913,124821,11491101.686,2.04,-0.54,-0.005,0.16
2025-04-01,0.929,0.934,0.938,0.926,138048,12879925.321,1.29,0.76,0.007,0.18
2025-04-02,0.929,0.939,0.945,0.929,73004,6848812.814,1.71,0.54,0.005,0.1
2025-04-03,0.932,0.925,0.941,0.917,103072,9563752.385,2.56,-1.49,-0.014,0.14
2025-04-07,0.9,0.833,0.9,0.833,152906,12898441.436,7.24,-9.95,-0.092,0.2
2025-04-08,0.833,0.813,0.845,0.797,259981,21110869.328,5.76,-2.4,-0.02,0.34
2025-04-09,0.8,0.845,0.849,0.782,229138,18767027.283,8.24,3.94,0.032,0.3
2025-04-10,0.857,0.861,0.88,0.857,129733,11266566.692,2.72,1.89,0.016,0.17
2025-04-11,0.846,0.884,0.892,0.846,152808,13336930.549,5.34,2.67,0.023,0.2
