代码,名称,近1周2连跌,近1周3连跌,全量2跌胜率%,全量2跌均涨,全量3跌胜率%,全量3跌均涨,全量4跌胜率%,全量4跌均涨,全量5跌胜率%,全量5跌均涨,近3年2跌胜率%,近3年2跌均涨,近3年3跌胜率%,近3年3跌均涨,近3年4跌胜率%,近3年4跌均涨,近3年5跌胜率%,近3年5跌均涨
513820,未知,0,0,61.36,0.04,60.0,0.13,80.0,0.61,0.0,-2.29,61.36,0.04,60.0,0.13,80.0,0.61,0.0,-2.29
513860,未知,0,0,51.75,-0.02,55.74,0.22,52.0,0.1,50.0,-0.24,36.0,0.09,60.0,0.21,20.0,-1.42,33.33,-1.5
159741,未知,0,0,46.85,-0.15,57.53,0.5,56.67,0.17,50.0,-0.21,56.82,0.37,60.0,0.23,50.0,-0.38,50.0,1.01
513590,未知,0,0,50.0,-0.12,50.82,0.25,58.33,0.26,80.0,0.53,50.0,0.15,59.26,0.27,35.71,-0.36,60.0,0.22
513550,未知,0,0,50.33,-0.06,46.38,0.06,54.05,0.35,69.23,0.37,46.88,0.19,58.82,0.2,63.64,0.22,100.0,2.08
159506,未知,0,0,45.0,-0.14,58.14,-0.09,64.71,0.78,83.33,0.81,45.0,-0.14,58.14,-0.09,64.71,0.78,83.33,0.81
159751,未知,0,0,52.42,-0.15,54.72,0.39,59.09,0.34,50.0,0.04,54.84,0.17,57.69,-0.01,69.23,0.29,50.0,-0.16
159659,未知,0,0,52.31,0.24,57.69,0.22,18.18,-0.81,44.44,0.4,52.31,0.24,57.69,0.22,18.18,-0.81,44.44,0.4
513530,未知,0,0,59.05,0.1,51.22,0.01,68.42,0.6,33.33,-0.81,52.38,0.0,57.69,0.44,61.54,0.21,60.0,0.04
513260,未知,0,0,54.29,0.15,58.7,0.35,58.82,0.49,66.67,0.05,53.49,0.36,57.5,0.13,20.0,-1.01,50.0,0.06
513040,未知,0,0,54.76,0.2,57.14,-0.34,64.29,0.73,40.0,-0.06,54.76,0.2,57.14,-0.34,64.29,0.73,40.0,-0.06
513210,未知,0,0,51.06,-0.19,57.14,0.16,33.33,0.01,50.0,0.03,51.06,-0.19,57.14,0.16,33.33,0.01,50.0,0.03
513380,未知,0,0,50.85,0.14,56.6,0.52,72.73,0.62,40.0,-0.07,46.05,0.07,57.14,0.29,55.56,0.04,50.0,0.5
513970,未知,0,0,50.6,0.06,56.76,0.28,57.14,0.53,40.0,-0.09,50.6,0.06,56.76,0.28,57.14,0.53,40.0,-0.09
159691,未知,0,0,57.14,0.11,56.67,-0.03,54.55,0.72,60.0,-0.38,57.14,0.11,56.67,-0.03,54.55,0.72,60.0,-0.38
159577,未知,0,0,53.06,0.18,56.52,0.14,44.44,-0.45,40.0,0.02,53.06,0.18,56.52,0.14,44.44,-0.45,40.0,0.02
159557,未知,0,0,47.92,-0.26,56.0,0.33,54.55,0.61,60.0,-0.41,47.92,-0.26,56.0,0.33,54.55,0.61,60.0,-0.41
159850,未知,0,0,48.08,-0.19,48.61,0.18,48.48,0.1,56.25,0.2,69.23,0.5,55.56,0.04,27.27,-0.44,75.0,0.78
513350,未知,0,0,54.1,0.12,55.56,0.13,20.0,-1.57,50.0,1.07,54.1,0.12,55.56,0.13,20.0,-1.57,50.0,1.07
159519,未知,0,0,53.73,0.16,55.56,0.07,72.73,0.42,66.67,-0.18,53.73,0.16,55.56,0.07,72.73,0.42,66.67,-0.18
520700,未知,0,0,48.72,-0.28,55.0,-0.15,66.67,0.38,100.0,1.47,48.72,-0.28,55.0,-0.15,66.67,0.38,100.0,1.47
513230,未知,0,0,48.41,-0.19,47.54,-0.01,50.0,0.44,35.71,-0.27,57.35,0.3,54.84,0.47,58.82,0.74,33.33,-0.33
513200,未知,0,0,52.85,0.0,50.88,0.23,53.85,0.11,63.64,-0.26,48.48,0.07,54.55,0.43,38.46,0.42,62.5,0.47
513400,未知,0,0,40.43,-0.22,54.55,0.32,37.5,0.03,75.0,0.43,40.43,-0.22,54.55,0.32,37.5,0.03,75.0,0.43
159612,未知,0,0,56.99,0.08,56.41,0.51,62.5,0.25,40.0,0.14,40.38,-0.26,54.17,0.2,66.67,0.34,66.67,0.36
159501,未知,0,0,50.77,0.19,53.57,0.24,33.33,-0.28,62.5,0.33,50.77,0.19,53.57,0.24,33.33,-0.28,62.5,0.33
159513,未知,0,0,47.46,0.17,53.57,0.15,33.33,-0.58,50.0,0.37,47.46,0.17,53.57,0.15,33.33,-0.58,50.0,0.37
513070,未知,0,0,49.55,-0.05,43.4,-0.26,65.52,0.58,44.44,-0.33,52.24,0.27,53.12,0.03,66.67,0.76,50.0,0.61
159711,未知,0,0,41.23,-0.22,50.0,0.18,53.57,0.39,50.0,0.08,43.4,0.02,53.12,0.15,68.75,0.13,71.43,0.4
159561,未知,0,0,60.0,-0.09,52.94,-0.16,62.5,0.76,66.67,-0.29,60.0,-0.09,52.94,-0.16,62.5,0.76,66.67,-0.29
513180,恒生科技ETF,0,0,49.32,-0.16,50.68,0.39,57.58,0.21,53.85,0.5,46.67,-0.23,52.63,0.06,53.85,0.69,0.0,-0.74
159329,未知,0,0,48.98,0.08,52.63,-0.3,87.5,0.92,0.0,0.0,48.98,0.08,52.63,-0.3,87.5,0.92,0.0,0.0
159688,未知,0,0,51.55,0.19,52.27,-0.08,42.11,-0.02,63.64,0.58,51.55,0.19,52.27,-0.08,42.11,-0.02,63.64,0.58
513870,未知,0,0,48.0,0.28,52.17,-0.07,30.0,-0.61,57.14,0.66,48.0,0.28,52.17,-0.07,30.0,-0.61,57.14,0.66
159792,未知,0,0,52.94,-0.07,51.56,0.26,44.83,-0.06,53.33,0.18,52.63,0.21,52.17,-0.05,35.71,-0.15,80.0,1.07
520830,沙特ETF,0,0,35.56,-0.12,51.85,0.03,69.23,-0.27,100.0,2.82,35.56,-0.12,51.85,0.03,69.23,-0.27,100.0,2.82
159605,未知,0,0,50.0,0.13,55.88,0.35,59.26,0.28,60.0,0.87,53.97,0.12,51.72,0.18,69.23,0.96,50.0,0.27
513020,未知,0,0,52.03,-0.12,59.65,0.53,61.9,0.45,50.0,-0.04,50.75,0.31,51.72,-0.19,41.67,0.21,66.67,0.08
513170,未知,0,0,61.36,0.07,50.0,0.13,71.43,0.81,100.0,0.26,61.36,0.07,50.0,0.13,71.43,0.81,100.0,0.26
159318,未知,0,0,56.82,-0.08,50.0,0.0,50.0,0.15,100.0,2.14,56.82,-0.08,50.0,0.0,50.0,0.15,100.0,2.14
159312,未知,0,0,52.94,-0.2,50.0,0.2,57.14,0.71,50.0,-0.39,52.94,-0.2,50.0,0.2,57.14,0.71,50.0,-0.39
159735,未知,0,0,45.19,-0.2,42.65,0.04,58.82,0.43,71.43,0.39,51.16,0.13,50.0,-0.0,50.0,0.12,20.0,-2.33
501307,未知,0,0,53.57,0.46,50.0,0.17,53.85,0.34,70.0,0.6,0.0,-0.08,50.0,-0.12,100.0,0.24,0.0,0.0
159607,未知,0,0,50.74,0.08,53.85,0.52,59.26,0.32,66.67,1.18,58.33,0.33,50.0,0.15,64.29,0.89,66.67,0.99
513150,未知,0,0,58.27,0.09,51.06,0.44,52.38,0.02,44.44,-0.44,53.03,0.07,50.0,0.55,30.77,0.32,60.0,0.45
159699,未知,0,0,48.61,0.11,48.39,-0.1,73.33,0.76,50.0,-0.72,48.61,0.11,48.39,-0.1,73.33,0.76,50.0,-0.72
159570,未知,0,0,52.54,0.19,48.15,-0.32,61.54,0.88,75.0,0.88,52.54,0.19,48.15,-0.32,61.54,0.88,75.0,0.88
513010,未知,0,0,48.65,-0.13,55.71,0.4,63.33,0.34,30.0,-0.83,48.84,-0.3,47.37,0.2,64.29,0.72,25.0,-0.41
513120,未知,0,0,50.0,0.14,60.38,0.18,50.0,-0.16,70.0,0.27,50.0,0.02,47.22,-0.2,64.29,0.66,71.43,0.11
513780,未知,0,0,51.35,-0.29,47.06,0.05,50.0,0.35,75.0,1.46,51.35,-0.29,47.06,0.05,50.0,0.35,75.0,1.46
159331,未知,0,0,57.5,0.03,46.67,-0.07,57.14,0.26,66.67,-0.69,57.5,0.03,46.67,-0.07,57.14,0.26,66.67,-0.69
520900,未知,0,0,56.76,0.19,46.67,-0.06,57.14,0.19,50.0,0.17,56.76,0.19,46.67,-0.06,57.14,0.19,50.0,0.17
513650,未知,0,0,51.47,0.13,46.67,0.08,50.0,0.29,57.14,0.32,51.47,0.13,46.67,0.08,50.0,0.29,57.14,0.32
520990,未知,0,0,61.54,0.07,46.67,-0.21,57.14,0.3,100.0,0.8,61.54,0.07,46.67,-0.21,57.14,0.3,100.0,0.8
159302,未知,0,0,59.38,0.03,46.15,-0.07,57.14,-0.31,100.0,0.47,59.38,0.03,46.15,-0.07,57.14,-0.31,100.0,0.47
159776,未知,0,0,50.0,0.13,51.72,0.1,57.69,0.29,80.0,0.19,46.05,-0.19,45.71,0.06,53.85,-0.05,85.71,1.46
159303,未知,0,0,47.92,-0.1,45.45,0.26,54.55,0.45,40.0,0.2,47.92,-0.1,45.45,0.26,54.55,0.45,40.0,0.2
513220,未知,0,0,54.46,0.12,48.98,-0.17,64.0,0.44,62.5,0.75,45.0,0.07,45.45,-0.03,47.37,-0.08,60.0,0.1
159687,未知,0,0,53.95,0.04,70.97,0.61,75.0,0.36,50.0,-0.05,58.11,0.48,45.16,-0.24,62.5,0.23,50.0,0.26
513690,未知,0,0,48.85,-0.08,49.18,0.09,61.54,0.29,70.0,0.47,56.41,0.19,45.0,-0.27,60.0,0.12,100.0,0.68
513560,未知,0,0,54.02,0.02,44.44,-0.36,61.11,0.13,28.57,-0.68,54.02,0.02,44.44,-0.36,61.11,0.13,28.57,-0.68
513330,未知,0,0,47.56,-0.11,47.44,-0.06,44.44,-0.16,61.11,0.66,56.76,0.59,44.44,-0.36,46.15,-0.48,75.0,-0.51
513890,未知,0,0,52.34,0.03,56.67,0.49,63.64,0.48,42.86,-0.43,55.22,0.31,44.12,0.11,50.0,0.16,66.67,0.7
513320,未知,0,0,50.85,-0.09,50.0,0.02,50.0,0.2,69.23,0.36,51.47,0.15,44.12,0.22,63.16,0.09,66.67,0.7
513950,未知,0,0,53.52,0.14,43.33,-0.25,41.18,0.12,75.0,-0.0,53.52,0.14,43.33,-0.25,41.18,0.12,75.0,-0.0
159615,未知,0,0,47.01,-0.06,53.45,0.16,56.52,0.71,75.0,0.37,50.63,0.11,42.5,0.04,46.15,0.23,28.57,-0.76
159567,未知,0,0,53.33,0.29,42.31,-0.49,64.29,0.59,75.0,0.79,53.33,0.29,42.31,-0.49,64.29,0.59,75.0,0.79
159742,未知,0,0,47.71,-0.08,55.41,0.26,56.67,-0.04,53.85,0.31,45.65,-0.24,42.11,0.08,55.56,1.13,0.0,-0.47
159822,未知,0,0,45.12,-0.27,40.74,-0.22,51.11,-0.03,45.0,-0.1,43.48,-0.04,41.67,-0.16,55.56,0.5,0.0,-1.58
159569,未知,0,0,56.67,0.16,41.67,-0.29,50.0,-0.09,66.67,-0.34,56.67,0.16,41.67,-0.29,50.0,-0.09,66.67,-0.34
159747,未知,0,0,48.0,-0.21,58.9,0.5,55.17,0.2,61.54,0.27,52.94,0.34,40.91,-0.47,41.67,-0.76,75.0,1.5
513360,未知,0,0,46.81,-0.39,54.79,0.14,51.61,-0.25,57.14,-0.39,48.84,0.28,40.91,-0.14,46.15,0.07,75.0,0.52
513110,未知,0,0,50.79,0.21,40.74,-0.08,35.71,-0.72,44.44,0.2,50.79,0.21,40.74,-0.08,35.71,-0.72,44.44,0.2
159636,未知,0,0,54.55,0.0,53.19,0.12,45.45,0.02,72.73,0.62,54.55,0.26,40.62,0.08,58.82,-0.05,71.43,1.17
159655,未知,0,0,59.49,0.24,46.67,-0.09,56.25,0.25,28.57,-0.07,62.12,0.36,39.13,-0.15,58.33,0.07,50.0,-0.14
159718,未知,0,0,46.4,-0.08,49.18,0.2,51.72,0.33,41.67,-0.33,53.12,0.36,38.71,-0.27,53.85,-0.32,42.86,-0.3
520520,未知,0,0,57.14,0.2,38.46,-0.15,62.5,0.52,33.33,0.07,57.14,0.2,38.46,-0.15,62.5,0.52,33.33,0.07
513160,未知,0,0,52.99,-0.05,54.9,0.46,45.45,-0.11,66.67,0.2,51.67,0.24,38.46,-0.08,68.75,0.01,33.33,0.25
513700,未知,0,0,50.7,-0.05,53.85,0.25,53.57,-0.09,76.92,0.07,54.55,0.48,38.46,0.62,30.0,-0.71,50.0,-0.65
159892,未知,0,0,43.61,-0.11,51.43,0.17,48.39,-0.4,73.33,0.43,50.0,0.24,38.46,-0.12,45.45,0.08,16.67,-0.43
513770,未知,0,0,50.43,-0.03,49.09,0.25,50.0,0.13,41.67,-0.19,41.94,-0.02,37.93,-0.14,28.57,0.41,71.43,2.56
513130,未知,0,0,48.34,-0.15,51.95,0.39,58.06,0.17,41.67,-0.28,46.67,-0.3,36.84,-0.09,41.67,0.24,50.0,-0.06
513920,未知,0,0,74.07,0.5,36.36,-0.42,57.14,-0.05,33.33,-1.11,74.07,0.5,36.36,-0.42,57.14,-0.05,33.33,-1.11
159750,未知,0,0,53.23,-0.06,59.65,0.29,60.87,0.39,50.0,0.07,53.12,0.49,34.38,-0.59,66.67,0.93,25.0,-0.83
159712,未知,0,0,45.0,-0.2,50.79,0.23,53.57,0.28,90.91,0.98,50.98,0.36,28.0,-0.18,61.54,-0.1,40.0,-0.03
513060,未知,0,0,46.98,-0.19,46.48,-0.14,62.86,-0.22,53.85,-0.9,47.62,0.06,25.0,-0.59,44.44,-0.31,75.0,0.53
513280,未知,0,0,44.64,-0.03,52.63,-0.05,57.69,0.24,81.82,0.52,57.5,0.3,23.08,-0.93,75.0,0.75,62.5,0.67
161831,未知,0,0,45.22,-0.14,45.86,-0.07,49.33,0.02,52.78,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513880,未知,0,0,47.89,0.03,57.65,0.27,50.0,0.03,64.71,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513000,未知,0,0,48.37,0.05,60.92,0.25,57.58,0.13,61.54,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159960,未知,0,0,46.3,-0.17,51.89,0.21,46.51,-0.07,57.14,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160140,未知,0,0,51.79,0.05,48.39,-0.08,51.22,0.09,38.89,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513600,未知,0,0,51.53,0.01,46.75,-0.09,64.94,0.29,57.69,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164906,未知,0,0,45.21,-0.28,46.88,0.09,48.68,0.14,45.95,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160717,未知,0,0,47.89,-0.05,51.47,0.16,47.25,0.04,53.49,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501310,未知,0,0,40.12,-0.12,51.16,0.01,43.24,0.09,36.84,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160322,未知,0,0,43.91,-0.06,42.11,-0.09,54.1,0.28,45.83,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513660,未知,0,0,53.02,-0.06,51.77,0.08,59.09,0.36,57.69,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501303,未知,0,0,48.85,0.06,52.63,0.35,52.0,0.33,45.45,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501301,未知,0,0,49.43,0.02,54.47,0.17,47.27,0.02,52.17,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160924,未知,0,0,45.41,-0.05,45.1,0.13,61.54,0.23,44.44,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161124,未知,0,0,50.22,0.03,37.0,-0.44,52.73,-0.07,66.67,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161130,未知,0,0,51.63,0.05,55.1,0.13,53.85,0.47,41.18,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513800,未知,0,0,53.19,-0.01,66.67,0.4,60.0,0.25,44.44,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513520,日经ETF,0,0,51.31,0.14,56.63,0.15,47.06,-0.03,50.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501306,未知,0,0,48.82,0.07,54.67,0.2,67.86,0.29,57.14,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501305,未知,0,0,55.4,0.32,53.66,0.36,66.67,0.17,50.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510900,未知,0,0,50.38,-0.04,51.35,0.01,57.32,0.47,52.94,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513900,未知,0,0,52.0,-0.03,40.4,-0.08,58.49,0.42,59.09,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501302,未知,0,0,46.51,-0.0,52.43,0.08,51.06,0.18,47.62,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160644,未知,0,0,49.76,0.08,52.17,0.27,61.54,0.81,53.33,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513050,未知,0,0,54.71,0.0,47.54,-0.02,53.33,-0.08,48.15,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164705,未知,0,0,50.0,0.14,56.93,0.24,55.56,0.38,47.62,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501021,未知,0,0,54.62,-0.07,50.0,-0.05,46.94,-0.16,40.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159954,未知,0,0,47.75,-0.18,51.33,0.07,44.44,0.15,42.31,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159920,恒生ETF,0,0,49.21,-0.09,51.11,0.08,48.1,0.07,60.53,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
